agent1_id,agent2_id,score
6,1,0.4073352582805607
7,9,0.7494307670022855
1,6,0.3392996792563695
5,8,0.11858518667547902
4,6,0.0038320436318203255
3,2,0.5361786918971467
7,8,0.2853230632614415
1,5,0.017828643090732843
7,4,0.4080409282056717
3,7,0.6401437357770313
4,8,0.7469286809967242
4,10,0.13073197326989316
4,9,0.8659398612372566
6,1,0.23363289150620026
8,4,0.6425622669128703
2,7,0.41012656011165594
2,5,0.5110508263558808
1,5,0.04996306667369521
5,1,0.4446806899071202
2,9,0.46102371725016933
5,9,0.24968371878540507
6,8,0.8067115499111592
7,5,0.0975038682057926
9,7,0.7694800622775203
6,3,0.4854825477059016
4,1,0.29836847141583944
8,10,0.6123679406638329
2,6,0.2364271384502834
3,1,0.28427674027902583
5,7,0.2744444830300915
8,1,0.8254961074695901
2,6,0.5843473210245226
8,1,0.22787880273454553
1,7,0.23390243974757818
3,9,0.0012420307455025537
9,4,0.36291586936768916
1,9,0.37759596632983916
1,7,0.049871667373795
5,7,0.21677979071239672
7,6,0.13021147001338051
10,6,0.12434450518641316
3,8,0.18697244249253353
4,8,0.882402184574528
6,9,0.304416907533409
3,4,0.752824102421845
10,4,0.2828292716531158
